Region,Week,Date,Team A,Team B,GameNumber,Id,Hash
EU,1,1/22/2015,EL,FNC,,10107,dffca71578a233e4
EU,1,1/22/2015,GIA,MYM,,10148,c28188d1a3353f6a
EU,1,1/22/2015,CW,H2K,,10172,131a690ccfe38b23
EU,1,1/22/2015,SK,ROC,,10188,11752eecfdb459ae
EU,1,1/22/2015,GMB,UOL,,10208,3ab013d6310244c5
EU,1,1/23/2015,MYM,SK,,10223,d6c19c7e2ea3822c
EU,1,1/23/2015,GIA,CW,,10234,e4adb2e50365316e
EU,1,1/23/2015,ROC,GMB,,10242,73cc3a04abb7bfcc
EU,1,1/23/2015,FNC,H2K,,10253,f2d7653c90c44335
EU,1,1/23/2015,UOL,EL,,10262,d72078f3d5e2290e
EU,2,1/29/2015,H2K,MYM,,1001010020,1aa98b5ff0c99bfe
EU,2,1/29/2015,UOL,GIA,,1001010041,25af3b79c61f6270
EU,2,1/29/2015,FNC,ROC,,1001010047,6161b0288893ebd9
EU,2,1/29/2015,SK,GMB,,1001010060,6f95ca3873af65e3
EU,2,1/29/2015,EL,CW,,1001010073,b5c163cfcd10dae7
EU,2,1/30/2015,GMB,FNC,,1001010086,d2e8a3d25959c3ee
EU,2,1/30/2015,GIA,H2K,,1001010097,f5eb7c5f03eefec0
EU,2,1/30/2015,EL,ROC,,1001010108,6d1b89ef14abf346
EU,2,1/30/2015,SK,UOL,,1001010129,1937d0f1a1e3614b
EU,2,1/30/2015,MYM,CW,,1001010139,9e2d2a388721da4e
EU,3,2/5/2015,H2K,SK,,1001020036,f55eba2957505228
EU,3,2/5/2015,FNC,UOL,,1001020048,cdef03e7d308124a
EU,3,2/5/2015,MYM,EL,,1001020054,880399f1b3d0cc8f
EU,3,2/5/2015,ROC,GIA,,1001020062,7b317f836b6cdf4d
EU,3,2/5/2015,CW,GMB,,1001020070,d07af1a8b8b6acd8
EU,3,2/6/2015,FNC,GIA,,1001020080,91ad5b326a3561b9
EU,3,2/6/2015,GMB,H2K,,1001020089,911bc89a7e365614
EU,3,2/6/2015,ROC,MYM,,1001020099,9dcfb37615a0371b
EU,3,2/6/2015,UOL,CW,,1001020112,88c43bbfb07a3006
EU,3,2/6/2015,EL,SK,,1001020120,7837526612e32d4e
EU,4,2/12/2015,GIA,GMB,,1001020148,56a9ba6d665b105c
EU,4,2/12/2015,H2K,EL,,1001020157,25eb48fa02644ee2
EU,4,2/12/2015,MYM,FNC,,1001020167,baf388c1f45dd01b
EU,4,2/12/2015,UOL,ROC,,1001020174,7671174910605bc6
EU,4,2/12/2015,CW,SK,,1001020185,24e5f37f51f7eac1
EU,4,2/13/2015,H2K,ROC,,1001020201,793c0a244f8b90bb
EU,4,2/13/2015,SK,GIA,,1001020214,e7a4036614a2fd81
EU,4,2/13/2015,GMB,EL,,1001020222,7754152520598187
EU,4,2/13/2015,CW,FNC,,1001020233,3c8097a288cb52f9
EU,4,2/13/2015,MYM,UOL,,1001020245,349e869bf5ea074f
EU,5,2/19/2015,ROC,CW,,1001040025,91b5a0dc403c1721
EU,5,2/19/2015,EL,GIA,,1001040034,ee7d3e4dc09a365d
EU,5,2/19/2015,FNC,SK,,1001040042,d2705bfb515f0edc
EU,5,2/19/2015,MYM,GMB,,1001040055,dcab210f208eb11a
EU,5,2/19/2015,UOL,H2K,,1001040076,42c64c17019eec78
EU,5,2/20/2015,FNC,GMB,,1001040091,b1712b7956fc3028
EU,5,2/20/2015,ROC,EL,,1001040100,ead7f4e96dbf9aa7
EU,5,2/20/2015,CW,MYM,,1001040113,0f7d5b795f80f910
EU,5,2/20/2015,GIA,UOL,,1001040125,ce0ff7cee8b04b23
EU,5,2/20/2015,SK,H2K,,1001040140,3d1d8da9c13ef00c
EU,6,2/26/2015,GIA,FNC,,1001050098,585ed3e2934eb811
EU,6,2/26/2015,UOL,SK,,1001050114,b19ee6b71e738673
EU,6,2/26/2015,ROC,H2K,,1001050123,0716f9e3d5c1c5fe
EU,6,2/26/2015,EL,MYM,,1001050133,559b5d2980c3515d
EU,6,2/26/2015,GMB,CW,,1001050144,e7ba7f0e03507e53
EU,6,2/27/2015,H2K,GIA,,1001050156,f6f494e340e75e51
EU,6,2/27/2015,FNC,CW,,1001050166,bf5af5c5969e320f
EU,6,2/27/2015,SK,EL,,1001050175,c0fccb363418207a
EU,6,2/27/2015,GMB,ROC,,1001050188,ea8e5267687f46af
EU,6,2/27/2015,UOL,MYM,,1001050209,074aad5bf8271db7
EU,7,3/5/2015,MYM,GIA,,1001070005,24a670aa04fdaa8e
EU,7,3/5/2015,H2K,GMB,,1001070017,fa53ffef28f2e68b
EU,7,3/5/2015,CW,EL,,1001070027,3babed5e7b890d8a
EU,7,3/5/2015,SK,FNC,,1001070036,ccfe4eeebcdd2001
EU,7,3/5/2015,ROC,UOL,,1001070044,73b608c323ba5a45
EU,7,3/6/2015,ROC,SK,,1001070059,fa8011d7e2ef4b37
EU,7,3/6/2015,EL,UOL,,1001070070,e60dbb704b5d42b9
EU,7,3/6/2015,FNC,MYM,,1001070081,e24c406152d357fa
EU,7,3/6/2015,H2K,CW,,1001070089,59c183fed26c2950
EU,7,3/6/2015,GMB,GIA,,1001070100,443f41a5fbc38523